0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:45 +0900] "GET /Shoppingmall/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:45 +0900] "GET /Shoppingmall/images/header%20image.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:45 +0900] "GET /Shoppingmall/images/product.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:45 +0900] "GET /Shoppingmall/images/best4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:45 +0900] "GET /Shoppingmall/images/best3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:45 +0900] "GET /Shoppingmall/images/best6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:45 +0900] "GET /Shoppingmall/images/best5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:45 +0900] "GET /Shoppingmall/images/best7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:45 +0900] "GET /Shoppingmall/css/images/bg01.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:46 +0900] "GET /Shoppingmall/images/ad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:48 +0900] "GET /Shoppingmall/Login.jsp HTTP/1.1" 200 4172
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:48 +0900] "GET /Shoppingmall/css/Login.css HTTP/1.1" 404 1108
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:48 +0900] "GET /Shoppingmall/js/Login.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:11:48 +0900] "GET /Shoppingmall/css/images/bg01.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:13 +0900] "GET /Shoppingmall/CheckOneShop.jsp HTTP/1.1" 200 4464
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:13 +0900] "GET /Shoppingmall/images/product.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:13 +0900] "GET /Shoppingmall/images/best3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:13 +0900] "GET /Shoppingmall/images/best4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:13 +0900] "GET /Shoppingmall/images/header%20image.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:13 +0900] "GET /Shoppingmall/images/best5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:13 +0900] "GET /Shoppingmall/images/best6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:13 +0900] "GET /Shoppingmall/images/best7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:14 +0900] "GET /Shoppingmall/css/images/bg01.jpg HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:14 +0900] "GET /Shoppingmall/images/ad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:16 +0900] "GET /Shoppingmall/Login.jsp HTTP/1.1" 200 4172
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:16 +0900] "GET /Shoppingmall/js/Login.js HTTP/1.1" 404 1106
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:16 +0900] "GET /Shoppingmall/css/Login.css HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [04/Jun/2019:17:16:16 +0900] "GET /Shoppingmall/css/images/bg01.jpg HTTP/1.1" 404 1118
